Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2020,12,29,16:18:30,0.0836,124.7176,10,4.1,"Minahasa, Sulawesi, Indonesia",1609258710
2020,12,28,07:31:10,-0.2385,124.5254,44.7,5.1,"174 km S of Tomohon, Indonesia",1609140670
2020,12,26,09:15:16,-0.2665,125.1326,57.7,4.9,"175 km S of Tondano, Indonesia",1608974116
2020,12,24,01:24:13,-0.1547,124.4378,32.5,5.2,"167 km SSW of Tomohon, Indonesia",1608773053
2020,12,22,09:39:23,-0.656,125.1056,41.2,4.2,"217 km S of Tondano, Indonesia",1608629963
2020,12,20,22:13:50,-0.1889,123.0381,68.7,4.1,"80 km S of Gorontalo, Indonesia",1608502430
2020,12,17,08:30:49,0.2977,125.0406,35,5.1,"112 km S of Tondano, Indonesia",1608193849
2020,12,02,20:36:22,-3.4349,123.2629,9.1,5.2,"102 km NE of Kendari, Indonesia",1606941382
2020,12,02,03:33:50,-5.6835,120.6056,10,4.2,"73 km SSE of Sinjai, Indonesia",1606880030
2020,11,29,12:14:13,0.4805,120.5811,10,4.2,"172 km NNE of Palu, Indonesia",1606652053
2020,11,28,17:26:10,0.5311,120.4025,10,4.6,"Minahasa, Sulawesi, Indonesia",1606584370
2020,11,25,00:01:58,-0.1847,125.4737,49,4.3,"176 km SSE of Tondano, Indonesia",1606262518
2020,11,24,02:56:12,0.0237,124.3137,99.9,4,"150 km ESE of Gorontalo, Indonesia",1606186572
2020,11,18,19:07:52,-6.0388,122.5792,10,4.5,"122 km S of Katabu, Indonesia",1605726472
2020,11,15,08:37:24,0.7939,124.6194,118.5,4.3,"61 km SSW of Tomohon, Indonesia",1605429444
2020,11,11,18:48:45,0.3276,121.6317,144.2,4.6,"160 km W of Gorontalo, Indonesia",1605120525
2020,11,09,15:22:57,0.9208,125.2443,40.9,4.5,"56 km SE of Tondano, Indonesia",1604935377
2020,11,09,03:33:46,-0.6061,122.1843,23.9,4,"77 km WNW of Luwuk, Indonesia",1604892826
2020,11,08,21:42:03,-6.0188,122.5471,10,4,"120 km S of Katabu, Indonesia",1604871723
2020,11,08,20:54:41,-2.2862,119.1124,54.6,4.4,"50 km NNE of Mamuju, Indonesia",1604868881
2020,11,06,23:41:47,-1.9522,119.3325,10,4.9,"94 km NNE of Mamuju, Indonesia",1604706107
2020,11,04,19:09:21,2.09,124.4306,249.5,4,"81 km NW of Manado, Indonesia",1604516961
2020,11,03,02:02:31,-0.1306,124.4872,64.1,4.5,"163 km SSW of Tomohon, Indonesia",1604368951
2020,10,30,13:26:58,-0.3142,124.4671,64.2,4.3,"182 km ESE of Gorontalo, Indonesia",1604064418
2020,10,29,01:54:19,-0.2294,124.4819,59.7,4.7,"174 km SSW of Tomohon, Indonesia",1603936459
2020,10,28,09:08:59,-0.2149,124.4602,47.5,5.3,"173 km SSW of Tomohon, Indonesia",1603876139
2020,10,27,22:50:34,-2.344,119.0818,29.9,4.4,"43 km NNE of Mamuju, Indonesia",1603839034
2020,10,27,21:00:39,-2.1839,119.3317,13,4.2,"73 km NE of Mamuju, Indonesia",1603832439
2020,10,27,19:43:52,-2.2332,119.0801,22,5.4,"53 km NNE of Mamuju, Indonesia",1603827832
2020,10,26,08:26:35,0.5849,121.5429,90,5.1,"169 km W of Gorontalo, Indonesia",1603700795
2020,10,25,06:28:07,-0.745,123.2371,17.8,4.7,"55 km ENE of Luwuk, Indonesia",1603607287
2020,10,23,14:18:37,-2.1571,121.025,10,4,"89 km SSE of Poso, Indonesia",1603462717
2020,10,21,19:49:01,-0.1532,124.4835,60.5,4.3,"166 km SSW of Tomohon, Indonesia",1603309741
2020,10,21,17:06:06,0.8661,122.9162,313.9,4.5,"39 km NNW of Gorontalo, Indonesia",1603299966
2020,10,20,19:27:08,-0.1329,124.6576,59.3,4.6,"161 km S of Tomohon, Indonesia",1603222028
2020,10,19,08:22:06,-0.0831,125.8241,10,4.7,"184 km SSE of Tondano, Indonesia",1603095726
2020,10,18,03:51:10,-0.322,122.9749,82.1,4.5,"72 km NNE of Luwuk, Indonesia",1602993070
2020,10,17,20:58:31,-6.0607,122.5599,10,4.5,"124 km S of Katabu, Indonesia",1602968311
2020,10,10,09:08:42,-5.9723,122.6409,10,4.6,"115 km S of Katabu, Indonesia",1602320922
2020,10,09,02:57:20,-6.0536,122.5915,10,5.3,"124 km S of Katabu, Indonesia",1602212240
2020,10,07,18:27:28,0.3473,125.7977,40.2,4.9,"144 km SE of Tondano, Indonesia",1602095248
2020,10,07,11:58:21,0.5764,121.4852,99.1,4.3,"175 km W of Gorontalo, Indonesia",1602071901
2020,10,06,13:17:36,-0.9306,122.1768,44.2,4.8,"68 km W of Luwuk, Indonesia",1601990256
2020,10,02,08:57:00,0.7173,121.3812,75.6,4.2,"188 km W of Gorontalo, Indonesia",1601629020
2020,09,22,07:53:32,-4.6979,125.3986,429.7,4.3,"Banda Sea",1600761212
